TF	Target	WeightOfEdge
TFAP2A	ANKRD1	0.006803414318710566
EOMES	ROR2	0.006801790092140436
TFAP2A	OAS1	0.006799743510782719
TRIM28	RAVER2	0.0067977337166666985
TRIM28	MKI67IP	0.0067963809706270695
POU5F1	ABLIM1	0.006795528810471296
TRIM28	SNAPC4	0.006794181652367115
POU5F1	RNPS1	0.006793653592467308
TRIM28	MED14	0.006792542524635792
EOMES	SERPINE2	0.006791083607822657
TRIM28	GRHL2	0.0067880419082939625
PRDM1	ACOX3	0.006785586476325989
TFAP2A	NDUFC2-KCTD14	0.006782446056604385
ZFP42	SKA3	0.0067797317169606686
POU5F1	UHRF1	0.006779624614864588
TRIM28	KIAA1804	0.006775477901101112
TRIM28	ANKRD28	0.006775239482522011
FOXH1	DPH2	0.006774550769478083
POU5F1	MYBL2	0.006774281617254019
POU5F1	UTP18	0.006774134933948517
PRDM1	ABCA1	0.006774106994271278
TRIM28	ZNF142	0.006773288827389479
CTNNB1	SRSF3	0.00677098985761404
CTNNB1	DPYSL3	0.006770371459424496
TRIM28	SYNE2	0.006769619882106781
POU5F1	HCFC1	0.0067648389376699924
POU5F1	PRDM14	0.0067618368193507195
TFAP2A	CALCOCO1	0.0067539457231760025
EOMES	APOBEC3G	0.006753219291567802
POU5F1	GCA	0.006751925218850374
POU5F1	CA14	0.006751810200512409
TFAP2A	TJP2	0.006750035099685192
TRIM28	FZD5	0.006749886088073254
TFAP2A	VASH2	0.006749788764864206
POU5F1	TP53	0.006749370601028204
POU5F1	UPF1	0.006749339867383242
POU5F1	TMEM47	0.006748483516275883
FOXH1	EPCAM	0.00674766069278121
HAND2	TRIM22	0.006747416220605373
HAND2	SOX3	0.006744534708559513
POU5F1	TIPIN	0.006744234822690487
POU5F1	RBMX	0.006744195241481066
TRIM28	GABRB3	0.006743071600794792
POU5F1	SNRPB	0.006741954945027828
PRDM1	GYPB	0.006741463206708431
POU5F1	TIMM8A	0.00674128532409668
TRIM28	SMARCC1	0.006740449462085962
TFAP2A	POLR3G	0.006738868076354265
SOX2	PTPRZ1	0.006738102994859219
TRIM28	GATA2	0.006737681571394205
TFAP2A	RORB	0.006733775604516268
ZFP42	SEMA6A	0.006729418877512217
TRIM28	TLE3	0.006726875901222229
TRIM28	ZNF202	0.006725971587002277
TFAP2A	DACH1	0.006724034436047077
TRIM28	MCC	0.0067239501513540745
TRIM28	ESCO2	0.006722772493958473
ZFP42	NPM1	0.006722066551446915
TRIM28	FLRT2	0.006719372235238552
ZFP42	KAT7	0.006719276309013367
POU5F1	FBXO5	0.006719179451465607
POU5F1	ISCA1	0.006717721465975046
TFAP2A	POU5F1	0.006717645097523928
POU5F1	POU2F1	0.006715918891131878
POU5F1	PAWR	0.006715075578540564
POU5F1	RNF13	0.006712834816426039
TRIM28	PPPDE1	0.006712829694151878
CTNNB1	APBB2	0.006711750756949186
POU5F1	CDC7	0.0067117176949977875
TFAP2A	CPVL	0.006711497902870178
TRIM28	MSX1	0.006711127702146769
TFAP2A	YBX1	0.006709402892738581
ZFP42	POLR3G	0.006708479020744562
TFAP2A	SFMBT1	0.006708063650876284
TFAP2A	RAI1	0.006707703694701195
TRIM28	SERTAD2	0.006707633379846811
POU5F1	TLE1	0.006707290653139353
PRDM1	ST8SIA4	0.006706013344228268
TRIM28	BMPR1A	0.006704457104206085
POU5F1	UBTF	0.00670288223773241
ZFP42	PHC1	0.0067000132985413074
TP53	FAM117B	0.006698240526020527
TFAP2A	RUNX1	0.0066980416886508465
TFAP2A	TWIST1	0.006698006764054298
TRIM28	LGR4	0.00669493293389678
CTNNB1	FZD5	0.006694101728498936
POU5F1	MRPS35	0.006693415809422731
CTNNB1	PSIP1	0.006690799258649349
TRIM28	KAT7	0.006689895875751972
POU5F1	KDM6A	0.00668891379609704
TRIM28	RNF138	0.0066881622187793255
POU5F1	HPRT1	0.0066871121525764465
TRIM28	NXT2	0.006685944739729166
HAND2	NKX3-1	0.00668474193662405
POU5F1	DCLK1	0.006683567073196173
TRIM28	PHC1	0.006683453917503357
LEF1	GATA2	0.006683377083390951
POU5F1	CNBP	0.006681164260953665
TRIM28	BLM	0.006680019665509462
TRIM28	BTF3	0.00667970534414053
TFAP2A	MEIS1	0.006679327692836523
TRIM28	DEDD2	0.006672971416264772
TRIM28	DTL	0.006672507617622614
POU5F1	FBXO28	0.0066711558029055595
TRIM28	ZHX3	0.0066703385673463345
CTNNB1	PDGFA	0.006668537389487028
POU5F1	CPVL	0.006668383721262217
POU5F1	CXXC1	0.006668184883892536
POU5F1	PPPDE1	0.006666641216725111
SOX2	POLR3G	0.006665910594165325
TRIM28	HPRT1	0.00666391383856535
POU5F1	MED16	0.006663647945970297
CTNNB1	AK4	0.006663559004664421
TRIM28	PBX1	0.006663515232503414
TRIM28	WDR35	0.006663435138761997
TRIM28	NCAPG	0.00666301092132926
POU5F1	APEX1	0.006662675645202398
POU5F1	POLR3E	0.006662258878350258
TRIM28	POLR1C	0.006661328487098217
POU5F1	DNAJC2	0.006659333594143391
EOMES	GRPR	0.0066591002978384495
TRIM28	DAXX	0.006653741467744112
TRIM28	CDC7	0.006653493270277977
CTNNB1	TCF7L1	0.006652818527072668
POU5F1	DPF2	0.006652001291513443
EOMES	ANGPT2	0.006651135627180338
POU5F1	GTF2H2	0.006650859024375677
TRIM28	ZNF8	0.006650685332715511
CTNNB1	NPM1	0.006650569383054972
TFAP2A	SOX17	0.006650198251008987
TRIM28	KIF23	0.006648438982665539
EOMES	WLS	0.006644540466368198
TRIM28	RBBP8	0.006643993780016899
EOMES	SLCO2A1	0.0066420151852071285
POU5F1	ESRP1	0.006640783976763487
TRIM28	RND3	0.006636598613113165
TFAP2A	HOXB4	0.006634649354964495
POU5F1	RIOK1	0.006633572746068239
POU5F1	SEMA3A	0.006632378324866295
POU5F1	SFPQ	0.006631631404161453
DNMT3B	NANOG	0.0066305105574429035
TFAP2A	GRHL1	0.006630299612879753
TFAP2A	ODC1	0.0066275387071073055
TRIM28	JPH1	0.0066261254251003265
TP53	SRSF6	0.006625129841268063
TRIM28	GLDC	0.006624682806432247
TP53	CTBP1	0.0066241128370165825
POU5F1	FUBP1	0.006622812245041132
POU5F1	HRSP12	0.006621675565838814
POU5F1	TTK	0.006618613842874765
TRIM28	RFXANK	0.006614344660192728
POU5F1	RAVER2	0.006613200530409813
POU5F1	PRKACB	0.006612622179090977
TFAP2A	TGFB1	0.006612238008528948
TFAP2A	CXXC1	0.006611852906644344
ZFP42	PTMA	0.006609782576560974
POU5F1	APBB2	0.00660889595746994
SOX2	LECT1	0.0066087013110518456
TRIM28	C4ORF46	0.006606576964259148
TFAP2A	GCA	0.006606301758438349
POU5F1	POLR1C	0.0066029843874275684
POU5F1	ESPL1	0.006602269597351551
POU5F1	MCM6	0.006599229760468006
TRIM28	TIPIN	0.006597140803933144
ZFP42	MCM3	0.006594909355044365
POU5F1	WDFY1	0.006593779660761356
PRDM1	CCDC81	0.006590027827769518
TRIM28	RBPJ	0.006587430369108915
POU5F1	C4ORF46	0.006584216374903917
TRIM28	JMJD1C	0.00658345827832818
TP53	PHC1	0.006580759305506945
